n_qubits,n_terms,filling,name,basis
4, 15, 0.625, molecular hydrogen, sto-3g
8, 185, 0.6423611111111112, molecular hydrogen, 6-31g
12, 631, 0.47372372372372373, lithium hydride, sto-3g
14, 1390, 0.4915134370579915, water, sto-3g
20, 2239, 0.4784188034188034, oxygen, sto-3g
20, 2951, 0.5288530465949821, molecular nitrogen, sto-3g
16, 4929, 0.5726068773234201, ammonia, sto-3g
18, 8480, 0.5717367853290184, methane, sto-3g
22, 8750, 0.526791089704997, lithium hydride, 6-31g
26, 13884, 0.49906542056074765, water, 6-31g
36, 22543, 0.47764641071277225, oxygen, 6-31g
36, 34655, 0.5271844955579895, disodium, sto-3g
36, 34655, 0.5248848903429056, molecular nitrogen, 6-31g
32, 44881, 0.5689781947261663, ethane, sto-3g